grad_norm,loss,loss_q0,loss_q1,loss_q2,loss_q3,lr,mse,mse_q0,mse_q1,mse_q2,mse_q3,nll,nll_q0,nll_q1,nll_q2,nll_q3,reg,reg_q0,reg_q1,reg_q2,reg_q3,samples,step,eval_loss,eval_loss_q0,eval_loss_q1,eval_loss_q3,eval_mse,eval_mse_q0,eval_mse_q1,eval_mse_q3,eval_nll,eval_nll_q0,eval_nll_q1,eval_nll_q3,eval_reg,eval_reg_q0,eval_reg_q1,eval_reg_q3,eval_loss_q2,eval_mse_q2,eval_nll_q2,eval_reg_q2
0.7499999745231606,24.63411518862911,24.404058,24.505713,24.585903,25.018908,9.986666666666667e-06,0.3071889033565269,0.3064426,0.3076844,0.3074741,0.30713296,5.77469585259838,5.5420218,5.6511574,5.734846,6.1495132,0.599062022391137,0.59712464,0.5993577,0.600747,0.599023,4004,1000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,20.561384201049805,20.45577,20.044205,21.289791,0.2777704894542694,0.28132674,0.28262183,0.26580665,2.262284755706787,2.108666,1.3856362,3.446171,0.6046715974807739,0.6036525,0.6044444,0.60693693,,,,
0.7499999615104143,21.510009820938066,21.185059,21.439041,21.311668,22.092365,9.973333333333333e-06,0.2615730548948055,0.2620987,0.26181507,0.26130703,0.26106486,3.1685609794855107,2.85863,3.0649939,3.004482,3.7362607,0.5765713120102884,0.5784931,0.5741554,0.5761895,0.57748586,8004,2000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,19.9654541015625,21.561733,18.137842,,0.25202885270118713,0.25205845,0.24833183,,2.241490125656128,3.5005622,0.8879645,,0.5827896595001221,0.5809643,0.58536786,,18.60051,0.25566667,1.0768714,0.58386195
0.7499999542039567,20.468002716064486,20.328625,20.284712,20.270523,20.976055,9.960000000000001e-06,0.24550370478630062,0.24694982,0.24580376,0.24542697,0.24387878,2.8059490896463424,2.6467507,2.6558483,2.6053243,3.3048244,0.5371896426975725,0.53377646,0.5345902,0.53514737,0.5450466,12004,3000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,22.00578498840332,24.94441,23.501286,19.788723,0.24125196039676666,0.2448394,0.23503923,0.2425646,4.497957229614258,7.6777563,5.144665,2.584704,0.5535392761230469,0.5538665,0.49630564,0.5819924,,,,
0.7499999514880257,19.614472034454405,19.295279,19.514297,19.441717,20.215878,9.946666666666667e-06,0.22866148804128186,0.22961003,0.22792846,0.22852512,0.22858235,2.766350690424446,2.4713714,2.6573424,2.6047754,3.3406851,0.5231178330183026,0.5167314,0.51847094,0.52210665,0.53529567,16004,4000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16.806087493896484,,16.585514,17.324253,0.21231700479984283,,0.20973192,0.21553902,0.9386070966720581,,0.9375273,1.1959586,0.5576320886611938,,0.55603945,0.5583403,16.729065,0.21426515,0.68341523,0.56010914
0.7499999479756467,18.45407500743864,18.285385,18.16391,18.421621,18.91831,9.933333333333334e-06,0.20880889634788025,0.21027677,0.20831168,0.20698477,0.20952642,2.6467858052253757,2.4659948,2.4165113,2.6184728,3.0629706,0.521519619613884,0.5124536,0.518473,0.5204482,0.5341296,20004,5000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,20.169328689575195,20.761915,,19.259285,0.20171435177326202,0.19968304,,0.1994108,4.047986030578613,3.8944795,,3.5479748,0.4869673252105713,0.33019382,,0.5499774,21.39683,0.20835277,5.2015147,0.5177206
0.7499999472385193,17.23545997428897,16.98736,17.113129,17.368668,17.472248,9.920000000000002e-06,0.2007754928022622,0.20386164,0.19916117,0.19828379,0.20169105,2.6045643284320805,2.3804553,2.4946418,2.6649094,2.8756528,0.5250375522673139,0.51560587,0.5203696,0.51975673,0.5440222,24004,6000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17.83625030517578,17.83625,,,0.19047735631465912,0.19047737,,,3.2144832611083984,3.214483,,,0.4565882086753845,0.4565882,,,,,,
0.7499999511138661,15.712354564666764,15.404018,15.782353,15.70161,15.970048,9.906666666666668e-06,0.1941881105452772,0.20259018,0.19224001,0.19005139,0.19126281,2.4771785576343497,2.1509728,2.530138,2.4805906,2.7580113,0.5263281809985633,0.51343566,0.51905257,0.5295522,0.54425645,28004,7000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15.711020469665527,13.476305,,13.664624,0.18378430604934692,0.1890394,,0.1846484,3.031057357788086,1.4873956,,1.4946562,0.5492109060287476,0.5392661,,0.5609971,17.851576,0.1807247,4.571089,0.54829025
0.7499999529232085,14.23612661266329,13.724653,14.313161,14.148078,14.769937,9.893333333333334e-06,0.1889257238060235,0.19817276,0.18678983,0.18356837,0.18664345,2.3951155326366447,1.9206202,2.4364789,2.3544295,2.8821497,0.5231313920915132,0.49913037,0.5158695,0.5321992,0.54675776,32004,8000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18.350555419921875,12.012388,23.002012,,0.1822759509086609,0.18025517,0.1872425,,6.066243648529053,0.79398286,10.477017,,0.4954748749732971,0.4867116,0.46990338,,19.193913,0.18080305,6.4969873,0.51264226
